label,teff,logg,feh,wmin,wmax,resolution,samples_per_resolution_element
A0V,9600,4.0,0.0,0.8,0.95,100000,3
A5V,8200,4.0,0.0,0.8,0.95,100000,3
F0V,7200,4.0,0.0,0.8,0.95,100000,3
F5V,6500,4.5,0.0,0.8,0.95,100000,3
G0V,6000,4.5,0.0,0.8,0.95,100000,3
G2V,5800,4.5,0.0,0.8,0.95,100000,3
G5V,5600,4.5,0.0,0.8,0.95,100000,3
K0V,5200,4.5,0.0,0.8,0.95,100000,3
K5V,4400,4.5,0.0,0.8,0.95,100000,3
M0V,3800,4.5,0.0,0.8,0.95,100000,3
M2V,3400,4.5,0.0,0.8,0.95,100000,3
M5V,3000,5.0,0.0,0.8,0.95,100000,3
G2V_mp,5800,4.5,-0.5,0.8,0.95,100000,3
G2V_mm,5800,4.5,-1.0,0.8,0.95,100000,3
G2V_pp,5800,4.5,0.5,0.8,0.95,100000,3
K0III,5000,3.0,0.0,0.8,0.95,100000,3
K5III,4000,2.0,0.0,0.8,0.95,100000,3
M0III,3800,1.5,0.0,0.8,0.95,100000,3
F0V_mp,7200,4.0,-0.5,0.8,0.95,100000,3
K0V_mp,5200,4.5,-0.5,0.8,0.95,100000,3
